event_id,before_count,after_count,need_recollection
E001,72,30,false
E002,50,30,false
E003,75,30,false
E004,65,30,true
E005,50,30,false
E006,49,30,false
E007,50,30,false
E008,50,30,false
E009,66,30,true
E010,50,30,false
E011,81,30,true
E012,78,30,true
E013,50,30,false
E014,50,30,false
E015,50,30,false
E016,50,30,false
E017,50,30,false
E018,86,30,true
E019,76,30,false
E020,74,30,false
E021,50,30,false
E022,50,30,false
E023,63,30,false
E024,50,30,false
E025,77,30,true
E026,77,30,false
E027,50,30,false
E028,77,30,false
E029,50,30,false
E030,74,30,true
E031,50,30,false
E032,72,30,false
E033,73,30,false
E034,77,30,true
E035,76,30,false
E036,79,30,false
E037,50,30,false
E038,47,30,false
E039,72,30,true
E040,74,30,true
E041,50,30,false
E042,50,30,false
E043,71,30,false
E044,50,30,false
E045,50,30,false
E046,74,30,true
E047,41,30,false
E048,50,30,false
E049,50,30,false
E050,50,30,false
